datetime,chl,sst,windspeed
3/1/2023 0:00,3.029652886,8.771562517,-2.859999895
3/1/2023 1:00,2.734766978,8.778562546,-5.21999979
3/1/2023 2:00,2.608373228,8.783960992,-5.929999828
3/1/2023 3:00,2.84006883,8.792062461,-6.019999981
3/1/2023 4:00,2.932003897,8.797937334,-0.680000007
3/1/2023 5:00,2.977924243,8.801999986,-7.099999905
3/1/2023 6:00,2.825689421,8.810381105,-6.159999847
3/1/2023 7:00,2.863862311,8.830437601,-6.46999979
3/1/2023 8:00,2.875305986,8.838750065,-5.329999924
3/1/2023 9:00,2.965418785,8.850687444,-4.199999809
3/1/2023 10:00,3.014716699,8.851248656,-0.879999995
3/1/2023 11:00,2.902342389,8.874437511,-1.830000043
3/1/2023 12:00,2.908438008,8.896062493,-0.839999974
3/1/2023 13:00,2.833118184,8.924645485,1.059999943
3/1/2023 14:00,2.857682518,8.920687556,0.600000024
3/1/2023 15:00,2.920997117,8.935874998,0.189999998
3/1/2023 16:00,3.198934915,8.950625002,0.769999981
3/1/2023 17:00,3.401639261,8.933762302,2.220000029
3/1/2023 18:00,3.614618281,8.929375052,2.680000067
3/1/2023 19:00,3.882705296,8.915937483,2.829999924
3/1/2023 20:00,3.986041173,8.91118747,2.670000076
3/1/2023 21:00,4.045398938,8.913182308,3.190000057
3/1/2023 22:00,4.033085507,8.917874873,4.079999924
3/1/2023 23:00,4.035207754,8.922437489,4.440000057
3/2/2023 0:00,3.826603877,8.923500061,4.75
3/2/2023 1:00,3.697393574,8.935999989,1.549999952
3/2/2023 2:00,3.393158832,8.94531244,2.609999895
3/2/2023 3:00,3.17949611,8.959187567,6.03000021
3/2/2023 4:00,3.151003701,8.962175358,4.650000095
3/2/2023 5:00,3.292161243,8.963187575,4.650000095
3/2/2023 6:00,3.202697048,8.964812517,4.789999962
3/2/2023 7:00,3.203611706,8.954562366,8.350000381
3/2/2023 8:00,3.236627342,8.948241272,8.630000114
3/2/2023 9:00,3.345474259,8.934187472,8.159999847
3/2/2023 10:00,3.345042737,8.908125043,8.539999962
3/2/2023 11:00,3.179042354,8.852125049,8.359999657
3/2/2023 12:00,2.942865958,8.823579723,8.350000381
3/2/2023 13:00,2.663586855,8.799312532,11.52000046
3/2/2023 14:00,2.600371478,8.78043741,12.57999992
3/2/2023 15:00,2.751430937,8.787499964,12.57999992
3/2/2023 16:00,2.944882184,8.786500202,-2.5
3/2/2023 17:00,2.985357323,8.774999976,-4.039999962
3/2/2023 18:00,3.142529707,8.756750047,-1.850000024
3/2/2023 19:00,3.289462708,8.747996766,-3.380000114
3/2/2023 20:00,3.378101122,8.733750045,-4.920000076
3/2/2023 21:00,3.403659261,8.726999819,-5.929999828
3/2/2023 22:00,3.530543222,8.718937457,-3.099999905
3/2/2023 23:00,3.570526211,8.709500075,1.820000052
3/3/2023 0:00,3.607646155,8.704375088,-4.389999866
3/3/2023 1:00,3.813198404,8.697687507,2.210000038
3/3/2023 2:00,3.61266663,8.681125045,-4.699999809
3/3/2023 3:00,3.469738845,8.679227362,0.349999994
3/3/2023 4:00,3.483335601,8.672062457,-2.049999952
3/3/2023 5:00,3.469746011,8.67462498,-5.300000191
3/3/2023 6:00,3.489739102,8.67049998,-1.330000043
3/3/2023 7:00,3.474712176,8.669281364,1.120000005
3/3/2023 8:00,3.427931176,8.667187393,-3.630000114
3/3/2023 9:00,3.32706638,8.662937403,2.75
3/3/2023 10:00,3.274907315,8.662846643,-4.940000057
3/3/2023 11:00,3.201490946,8.50356245,5.130000114
3/3/2023 12:00,2.952574824,8.487562478,2.140000105
3/3/2023 13:00,2.66554849,8.488812506,2.140000105
3/3/2023 14:00,2.775079796,8.481877486,-0.720000029
3/3/2023 15:00,2.896382332,8.487500012,-0.720000029
3/3/2023 16:00,2.739703835,8.48424989,-0.720000029
3/3/2023 17:00,2.733691666,8.481437564,8.779999733
3/3/2023 18:00,2.84248522,8.48525118,7.5
3/3/2023 19:00,2.974600556,8.488875091,5.28000021
3/3/2023 20:00,2.996588788,8.483312488,4.75
3/3/2023 21:00,3.276770742,8.474562586,6.260000229
3/3/2023 22:00,3.468204372,8.46741468,11.40999985
3/3/2023 23:00,3.061090075,8.460437536,9.390000343
3/4/2023 0:00,3.141749037,8.451375067,8.649999619
3/4/2023 1:00,3.66780741,8.440389395,9.609999657
3/4/2023 2:00,3.482743797,8.427749932,12.34000015
3/4/2023 3:00,3.291193827,8.427250028,12.34000015
3/4/2023 4:00,3.15844894,8.416875064,13.35000038
3/4/2023 5:00,3.134644593,8.407536471,12.19999981
3/4/2023 6:00,3.081048097,8.410749972,15.11999989
3/4/2023 7:00,2.98981922,8.41106236,12.13000011
3/4/2023 8:00,2.935623166,8.397937477,10.81999969
3/4/2023 9:00,2.907183304,8.394236449,4.940000057
3/4/2023 10:00,2.612461375,8.397687495,9.909999847
3/4/2023 11:00,2.515166725,8.391937435,7.739999771
3/4/2023 12:00,2.7376389,8.394437373,11.22999954
3/4/2023 13:00,2.796854937,8.392057463,13.68000031
3/4/2023 14:00,2.733714966,8.392812491,4.53000021
3/4/2023 15:00,2.8142223,8.401624977,2.930000067
3/4/2023 16:00,2.938754351,8.416476236,-4.340000153
3/4/2023 17:00,3.073930489,8.437312543,2.150000095
3/4/2023 18:00,3.172955678,8.454249919,3.119999886
3/4/2023 19:00,3.170360891,8.474187434,8.659999847
3/4/2023 20:00,3.119191099,8.497762325,6.960000038
3/4/2023 21:00,3.242312303,8.514437556,6.150000095
3/4/2023 22:00,3.285952491,8.531999946,2.75
3/4/2023 23:00,3.340795033,8.545812488,3.49000001
3/5/2023 0:00,3.271452822,8.570189034,4.300000191
3/5/2023 1:00,3.09729935,8.59087497,-1.350000024
3/5/2023 2:00,2.984673678,8.618937433,-0.039999999
3/5/2023 3:00,2.870434525,8.641625047,4.960000038
3/5/2023 4:00,2.807090287,8.67963305,3.559999943
3/5/2023 5:00,2.745400394,8.694999933,2.769999981
3/5/2023 6:00,2.742703632,8.721749961,5.349999905
3/5/2023 7:00,2.950634634,8.743448098,-1.980000019
3/5/2023 8:00,3.233888696,8.774562538,1.789999962
3/5/2023 9:00,3.235636165,8.789500117,-0.360000014
3/5/2023 10:00,3.255510036,8.789000034,1.669999957
3/5/2023 11:00,3.26334058,8.796983461,0.340000004
3/5/2023 12:00,3.26866097,8.804999948,0.639999986
3/5/2023 13:00,3.233495379,8.812687516,0.639999986
3/5/2023 14:00,3.223432525,8.81031251,2.950000048
3/5/2023 15:00,3.334087185,8.814624965,5.949999809
3/5/2023 16:00,3.423081682,8.829999983,1.700000048
3/5/2023 17:00,3.656957299,8.825374901,1.700000048
3/5/2023 18:00,3.695447729,8.816687465,8.180000305
3/5/2023 19:00,3.922484088,8.808059905,8.770000458
3/5/2023 20:00,4.096750126,8.799312472,2.75999999
3/5/2023 21:00,4.026310426,8.780750036,8.819999695
3/5/2023 22:00,3.92962314,8.77312601,8.819999695
3/5/2023 23:00,4.001961999,8.763750076,9.600000381
3/6/2023 0:00,3.540219787,8.747249901,10.72999954
3/6/2023 1:00,3.053843836,8.735187471,11.46000004
3/6/2023 2:00,2.885424137,8.718261173,9.229999542
3/6/2023 3:00,2.68203236,8.708312511,10.06000042
3/6/2023 4:00,2.572655314,8.70325011,11.88000011
3/6/2023 5:00,2.539744286,8.704875112,11.02999973
3/6/2023 6:00,2.578327089,8.698680622,11.17000008
3/6/2023 7:00,2.544711342,8.691875041,11.75
3/6/2023 8:00,2.531052676,8.687875032,12.03999996
3/6/2023 9:00,2.596763892,8.683375001,6.550000191
3/6/2023 10:00,2.530606698,8.675120444,12.32999992
3/6/2023 11:00,2.452874113,8.65775001,11.03999996
3/6/2023 12:00,2.494729463,8.653687537,12.22000027
3/6/2023 13:00,2.468369642,8.658042785,7.349999905
3/6/2023 14:00,2.345916872,8.65474993,7.349999905
3/6/2023 15:00,2.485077586,8.65406245,10.89000034
3/6/2023 16:00,2.570846411,8.65143764,7.420000076
3/6/2023 17:00,2.571098115,8.637011508,7.820000172
3/6/2023 18:00,2.639807387,8.621124983,8.100000381
3/6/2023 19:00,2.608732415,8.616062522,4.849999905
3/6/2023 20:00,2.850300838,8.613312543,7.179999828
3/6/2023 21:00,2.886768336,8.602068767,4.53000021
